start_date,end_date,asin,sourceable_product_out_of_stock_rate,procurable_product_out_of_stock_rate,open_purchase_order_units,receive_fill_rate,average_vendor_lead_time_days,sell_through_rate,unfilled_customer_ordered_units,vendor_confirmation_rate,net_received_inventory_cost_amount,net_received_inventory_cost_currency_code,net_received_inventory_units,sellable_on_hand_inventory_cost_amount,sellable_on_hand_inventory_cost_currency_code,sellable_on_hand_inventory_units,unsellable_on_hand_inventory_cost_amount,unsellable_on_hand_inventory_cost_currency_code,unsellable_on_hand_inventory_units,aged_90_plus_days_sellable_inventory_cost_amount,aged_90_plus_days_sellable_inventory_cost_currency_code,aged_90_plus_days_sellable_inventory_units
2026-03-22,2026-03-22,B000MAIC1M,,,,0,0,,,0,0,USD,0,296.66,USD,27,0,USD,0,296.66,USD,27
2026-03-22,2026-03-22,B0034CXR6K,,,0,1,0,,,1,0,USD,0,126.83,USD,11,0,USD,0,126.83,USD,11
2026-03-22,2026-03-22,B0039YWFN4,,,,0,0,,,0,0,USD,0,0,USD,0,6.61,USD,1,0,USD,0
2026-03-22,2026-03-22,B004K9S3K6,,,,0,0,,,0,0,USD,0,1120.63,USD,139,44.08,USD,6,191.43,USD,24
2026-03-22,2026-03-22,B004N0YB58,,,40,1,0,,,1,0,USD,0,334.16,USD,31,0,USD,0,43.88,USD,4
2026-03-22,2026-03-22,B00751XYN2,,,,0,0,,,0,0,USD,0,40.35,USD,5,0,USD,0,40.35,USD,5
2026-03-22,2026-03-22,B007BTTDSI,,,,0,0,,,0,0,USD,0,14326.26,USD,2018,0,USD,0,12244.68,USD,1764
2026-03-22,2026-03-22,B007MZ7VE4,,,1232,1,0,,,1,0,USD,0,1141.06,USD,134,33.86,USD,4,1036.78,USD,122
2026-03-22,2026-03-22,B007MZ7VHG,,,76,1.0046,0,,,1,0,USD,0,27443.89,USD,3859,13.5,USD,2,18162.47,USD,2571
2026-03-22,2026-03-22,B009UOMMWQ,,,,0,0,,,0,0,USD,0,6263.04,USD,1344,18.64,USD,4,3714.02,USD,797
2026-03-22,2026-03-22,B009UOMNE8,,,168,0,0,,,0,0,USD,0,5781.81,USD,1763,6.56,USD,2,4489.49,USD,1369
2026-03-22,2026-03-22,B009UOMO8I,,,,0,0,,,0,0,USD,0,968.66,USD,131,0,USD,0,901.94,USD,123
2026-03-22,2026-03-22,B00D8MX6NA,,,805,0,20.25,,,0,75.04,USD,8,3302.72,USD,354,53.4,USD,6,94.76,USD,12
